date,name,new_cases,new_cases_per_ten_thousand,first_dose,fully_vaccinated
22/06/2021,Sarawak,507,,721653,188852
22/06/2021,Pulau Pinang,195,,227719,92361
22/06/2021,Kelantan,165,,196221,96098
22/06/2021,Negeri Sembilan,585,,146460,75908
22/06/2021,Perak,68,,291559,158991
22/06/2021,Kedah,142,,220195,122597
22/06/2021,Melaka,167,,108816,49156
22/06/2021,Pahang,131,,182928,103118
22/06/2021,Terengganu,37,,126364,76547
22/06/2021,Labuan,104,,28565,13445
22/06/2021,Putrajaya,7,,35021,21672
22/06/2021,Perlis,2,,59520,31403
23/06/2021,Selangor,2001,,731294,237662
23/06/2021,Sabah,531,,349910,140994
23/06/2021,Kuala Lumpur,282,,825010,157393
23/06/2021,Johor,129,,404218,192501
23/06/2021,Sarawak,577,,775906,189280
23/06/2021,Pulau Pinang,677,,237561,96613
23/06/2021,Kelantan,81,,198940,103750
23/06/2021,Negeri Sembilan,159,,152610,78649
23/06/2021,Perak,75,,295798,165932
23/06/2021,Kedah,189,,221507,132726
23/06/2021,Melaka,180,,113085,52058
23/06/2021,Pahang,245,,187425,107276
23/06/2021,Terengganu,27,,129827,80375
23/06/2021,Labuan,77,,29395,13746
23/06/2021,Putrajaya,13,,35475,22957
23/06/2021,Perlis,1,,61172,33455
24/06/2021,Selangor,2072,,763987,251260
24/06/2021,Sabah,203,,357036,148934
24/06/2021,Kuala Lumpur,552,,857559,163987
24/06/2021,Johor,346,,414440,199873
24/06/2021,Sarawak,581,,830756,195607
24/06/2021,Pulau Pinang,108,,246789,101721
24/06/2021,Kelantan,135,,201017,112263
24/06/2021,Negeri Sembilan,781,,158587,82189
24/06/2021,Perak,120,,301508,173389
24/06/2021,Kedah,271,,223239,143149
24/06/2021,Melaka,247,,117714,55749
24/06/2021,Pahang,162,,190321,113110
24/06/2021,Terengganu,29,,133485,83194
24/06/2021,Labuan,212,,29849,14215
24/06/2021,Putrajaya,17,,35896,24460
24/06/2021,Perlis,5,,62151,35670
25/06/2021,Selangor,2187,,796769,262635
25/06/2021,Sabah,156,,363682,158108
25/06/2021,Kuala Lumpur,771,,884781,170594
25/06/2021,Johor,196,,421952,201340
25/06/2021,Sarawak,673,,878626,202741
25/06/2021,Pulau Pinang,270,,255399,107135
25/06/2021,Kelantan,98,,201022,112722
25/06/2021,Negeri Sembilan,658,,163361,85389
25/06/2021,Perak,72,,303493,181545
25/06/2021,Kedah,186,,223631,147177
25/06/2021,Melaka,223,,123359,59223
25/06/2021,Pahang,139,,193093,117133
25/06/2021,Terengganu,46,,133570,83203
25/06/2021,Labuan,123,,30193,14722
25/06/2021,Putrajaya,14,,36279,25825
25/06/2021,Perlis,0,,63504,36866
26/06/2021,Selangor,2108,,826502,268730
26/06/2021,Sabah,189,,369047,167017
26/06/2021,Kuala Lumpur,628,,908820,170621
26/06/2021,Johor,329,,426842,211797
26/06/2021,Sarawak,491,,919990,212978
26/06/2021,Pulau Pinang,160,,262662,110697
26/06/2021,Kelantan,103,,201418,113360
26/06/2021,Negeri Sembilan,741,,164567,86456
26/06/2021,Perak,137,,304163,187852
26/06/2021,Kedah,186,,223936,150119
26/06/2021,Melaka,355,,129005,61349
26/06/2021,Pahang,220,,197297,118980
26/06/2021,Terengganu,29,,139521,83581
26/06/2021,Labuan,99,,30978,14947
26/06/2021,Putrajaya,24,,36279,25825
26/06/2021,Perlis,4,,63966,37647
27/06/2021,Selangor,2212,,851118,270221
27/06/2021,Sabah,190,,372421,173701
27/06/2021,Kuala Lumpur,628,,932659,170688
27/06/2021,Johor,312,,430145,222614
27/06/2021,Sarawak,513,,953982,227292
27/06/2021,Pulau Pinang,138,,265670,110698
27/06/2021,Kelantan,133,,203288,119929
27/06/2021,Negeri Sembilan,501,,165697,87452
27/06/2021,Perak,229,,304672,194724
27/06/2021,Kedah,129,,224536,160284
27/06/2021,Melaka,380,,129604,61349
27/06/2021,Pahang,118,,197704,122992
27/06/2021,Terengganu,16,,143387,86658
27/06/2021,Labuan,83,,31581,14953
27/06/2021,Putrajaya,4,,36279,25825
27/06/2021,Perlis,0,,66106,37676
28/06/2021,Selangor,1989,,880954,275098
28/06/2021,Sabah,258,,375267,180825
28/06/2021,Kuala Lumpur,469,,958203,179423
28/06/2021,Johor,243,,436951,224441
28/06/2021,Sarawak,409,,992043,240232
28/06/2021,Pulau Pinang,88,,277477,111216
28/06/2021,Kelantan,101,,208498,120646
28/06/2021,Negeri Sembilan,629,,172736,88105
28/06/2021,Perak,400,,310960,195469
28/06/2021,Kedah,194,,228969,163748
28/06/2021,Melaka,183,,132670,61349
28/06/2021,Pahang,111,,204784,123162
28/06/2021,Terengganu,23,,147676,87131
28/06/2021,Labuan,108,,32471,14958
28/06/2021,Putrajaya,8,,36793,26570
28/06/2021,Perlis,5,,66676,37678
29/06/2021,Selangor,2299,,914648,287127
29/06/2021,Sabah,178,,378619,188690
29/06/2021,Kuala Lumpur,1361,,988698,189124
29/06/2021,Johor,271,,443421,233239
29/06/2021,Sarawak,242,,1030188,246259
29/06/2021,Pulau Pinang,115,,287122,116779
29/06/2021,Kelantan,131,,211104,127301
29/06/2021,Negeri Sembilan,700,,177793,90734
29/06/2021,Perak,184,,313917,201040
29/06/2021,Kedah,284,,230372,12259
29/06/2021,Melaka,252,,135762,64787
29/06/2021,Pahang,250,,209239,128312
29/06/2021,Terengganu,21,,151650,87597
29/06/2021,Labuan,117,,33467,15240
29/06/2021,Putrajaya,32,,37956,26955
29/06/2021,Perlis,0,,66955,38558
30/06/2021,Selangor,2836,,954199,303050
30/06/2021,Sabah,242,,381165,197597
30/06/2021,Kuala Lumpur,625,,1022085,198665
30/06/2021,Johor,299,,450271,244400
30/06/2021,Sarawak,376,,1070727,250011
30/06/2021,Pulau Pinang,131,,296279,123065
30/06/2021,Kelantan,159,,213631,134882
30/06/2021,Negeri Sembilan,644,,183529,94132
30/06/2021,Perak,137,,320185,209174
30/06/2021,Kedah,226,,232298,178707
30/06/2021,Melaka,223,,140582,68311
30/06/2021,Pahang,210,,213341,134201
30/06/2021,Terengganu,20,,155704,89532
30/06/2021,Labuan,132,,34303,15796
30/06/2021,Putrajaya,11,,39112,27515
30/06/2021,Perlis,5,,67256,39980
01/07/2021,Selangor,2885,,993032,318774
01/07/2021,Sabah,988,,383889,205175
01/07/2021,Kuala Lumpur,270,,1056002,209165
01/07/2021,Johor,232,,457921,256096
01/07/2021,Sarawak,544,,1116727,252496
01/07/2021,Pulau Pinang,692,,305485,128091
01/07/2021,Kelantan,108,,216413,141307
01/07/2021,Negeri Sembilan,174,,190382,98230
01/07/2021,Perak,149,,331010,214267
01/07/2021,Kedah,250,,236302,184457
01/07/2021,Melaka,311,,146062,70591
01/07/2021,Pahang,195,,216443,139054
01/07/2021,Terengganu,50,,160110,90258
01/07/2021,Labuan,129,,34881,16362
01/07/2021,Putrajaya,10,,40408,27950
01/07/2021,Perlis,1,,67768,41609
02/07/2021,Selangor,2907,,1031969,333432
02/07/2021,Sabah,230,,385114,215318
02/07/2021,Kuala Lumpur,637,,1094023,221020
02/07/2021,Johor,517,,464586,258636
02/07/2021,Sarawak,440,,1151744,257408
02/07/2021,Pulau Pinang,351,,314791,134494
02/07/2021,Kelantan,129,,217015,141747
02/07/2021,Negeri Sembilan,606,,197285,101934
02/07/2021,Perak,182,,345574,219044
02/07/2021,Kedah,257,,239335,186690
02/07/2021,Melaka,202,,151820,72684
02/07/2021,Pahang,329,,219502,142671
02/07/2021,Terengganu,44,,161292,90281
02/07/2021,Labuan,131,,35534,16721
02/07/2021,Putrajaya,20,,41788,28351
02/07/2021,Perlis,0,,68502,42588
03/07/2021,Selangor,3047,,1064412,342677
03/07/2021,Sabah,322,,386447,225690
03/07/2021,Kuala Lumpur,616,,1123942,232170
03/07/2021,Johor,414,,468676,266779
03/07/2021,Sarawak,361,,1178303,278528
03/07/2021,Pulau Pinang,142,,321838,138465
03/07/2021,Kelantan,89,,217421,141977
03/07/2021,Negeri Sembilan,699,,200396,103094
03/07/2021,Perak,101,,358879,223257
03/07/2021,Kedah,145,,244417,188354
03/07/2021,Melaka,345,,157116,74718
03/07/2021,Pahang,200,,223599,143987
03/07/2021,Terengganu,51,,167811,91934
03/07/2021,Labuan,108,,36065,17115
03/07/2021,Putrajaya,16,,42727,28352
03/07/2021,Perlis,2,,68965,42589
04/07/2021,Selangor,2262,,1095958,348853
04/07/2021,Sabah,228,,387000,233409
04/07/2021,Kuala Lumpur,616,,1154186,244709
04/07/2021,Johor,500,,472429,277716
04/07/2021,Sarawak,365,,1197283,299593
04/07/2021,Pulau Pinang,173,,328969,138468
04/07/2021,Kelantan,124,,222684,147117
04/07/2021,Negeri Sembilan,531,,203895,103979
04/07/2021,Perak,384,,371005,227137
04/07/2021,Kedah,332,,250804,193575
04/07/2021,Melaka,290,,157116,74718
04/07/2021,Pahang,95,,224162,145373
04/07/2021,Terengganu,54,,173006,95600
04/07/2021,Labuan,75,,36813,17128
04/07/2021,Putrajaya,16,,43712,28352
04/07/2021,Perlis,0,,69377,42589
05/07/2021,Selangor,2610,,1144651,367895
05/07/2021,Sabah,263,,388510,243816
05/07/2021,Kuala Lumpur,819,,1192024,255348
05/07/2021,Johor,324,,479302,290008
05/07/2021,Sarawak,424,,1226659,326285
05/07/2021,Pulau Pinang,157,,339646,143381
05/07/2021,Kelantan,114,,228435,153573
05/07/2021,Negeri Sembilan,523,,212044,108593
05/07/2021,Perak,249,,387663,232959
05/07/2021,Kedah,273,,259659,197776
05/07/2021,Melaka,206,,163378,76287
05/07/2021,Pahang,312,,231119,148383
05/07/2021,Terengganu,17,,179099,99727
05/07/2021,Labuan,71,,37268,18190
05/07/2021,Putrajaya,25,,45498,28782
05/07/2021,Perlis,0,,70047,44471
06/07/2021,Selangor,3260,,1202124,390420
06/07/2021,Sabah,225,,390699,253872
06/07/2021,Kuala Lumpur,1550,,1231055,269472
06/07/2021,Johor,313,,487566,300175
06/07/2021,Sarawak,286,,1254639,357574
06/07/2021,Pulau Pinang,185,,350060,148895
06/07/2021,Kelantan,118,,234984,161785
06/07/2021,Negeri Sembilan,698,,222179,113872
06/07/2021,Perak,94,,402234,239147
06/07/2021,Kedah,337,,268292,201999
06/07/2021,Melaka,230,,169781,78319
06/07/2021,Pahang,180,,235732,154325
06/07/2021,Terengganu,61,,185858,104018
06/07/2021,Labuan,82,,37725,19116
06/07/2021,Putrajaya,33,,47440,29503
06/07/2021,Perlis,2,,71391,46268
